county,subcounty,ward,lat,lon,altitude,annual_Rain,annual_Temp,ke_elev,ke_ph,LR_Rain,LR_Temp,SR_Rain,SR_Temp
Migori,Awendo Sub County,West Sakwa Ward,-0.841236473,34.50110263,1360.969849,1453,20.96033287,1323,5.829999924,898,20.88342857,555,21.06800079
Bomet,Chepalungu Sub County,Kong'asis Ward,-0.843636741,35.23099284,1884.458862,1256,17.9576664,1877,5.769999981,794,17.92685699,462,18.00079918
Kisii,Nyaribari Masaba Sub County,Nyamasibi Ward,-0.843988573,34.97381318,1927.838501,1613,17.72433281,1931,5.570000172,1025,17.67428589,588,17.79439926
Bomet,Bomet East Sub County,Longisa Ward,-0.847115402,35.39194665,1983.727783,1154,17.20533371,1974,5.889999866,738,17.16571426,416,17.26080132
Kisii,Bomachoge Chache Sub County,Bosoti Sengera Ward,-0.85582348,34.71170459,1748.383301,1786,19.32999992,1745,5.420000076,1114,19.26114273,672,19.42639923
NYANDARUA,Kinangop Sub County,Magumu Ward,-0.856621622,36.57514118,2695.776367,1279,13.00899982,2691,6.130000114,809,12.79885674,470,13.30319977
Narok,Narok South Sub County,Melelo Ward,-0.859737047,35.58627954,2179.480225,1097,16.0359993,2155,5.840000153,719,15.97599983,378,16.12000084
Muranga,Kandara Sub County,Gaichanjiru Ward,-0.859850015,37.0363045,1574.626709,1346,18.71633339,1572,5.699999809,832,18.54171371,514,18.96080017
Muranga,Kigumo Sub County,Kahumbu Ward,-0.860206487,37.08114574,1495.916748,1190,19.3283329,1506,5.760000229,723,19.15314293,467,19.57360077
Migori,Awendo Sub County,Central Sakwa Ward,-0.861070124,34.54153494,1438.329224,1453,20.96033287,1436,5.639999866,898,20.88342857,555,21.06800079
Kisii,Nyaribari Masaba Sub County,Gesusu Ward,-0.861085869,34.9031161,1962.192993,1708,17.74333382,1972,5.630000114,1074,17.69428635,634,17.81200027
Kiambu,Lari Sub County,Kinale Ward,-0.863409969,36.63018843,2629.159424,1457,12.88800049,2634,5.75,947,12.72000027,510,13.12319946
Kisii,Nyaribari Masaba Sub County,Masimba Ward,-0.867834753,34.9515435,2032.641357,1686,17.49166679,2061,5.550000191,1069,17.44171333,617,17.56159973
Migori,Uriri Sub County,North  Kanyamkago Ward,-0.868700913,34.39509355,1304.63208,1315,21.7076664,1305,6.03000021,799,21.61771393,516,21.83359909
Bomet,Sotik Sub County,Ndanai/abosi Ward,-0.869400906,35.08549176,1873.353394,1395,18.17866707,1858,5.650000095,884,18.14057159,511,18.23200035
Muranga,Kandara Sub County,Ithiru Ward,-0.880872683,36.9855703,1707.520874,1356,18.61966705,1656,5.579999924,843,18.45657158,513,18.84799957
Kisii,Bobasi Sub County,Nyacheki Ward,-0.881449596,34.87332237,1943.246216,1709,18.20833397,1944,5.510000229,1064,18.15885735,645,18.27759933
KITUI,Mwingi West Sub County,Kiomo/kyethani Ward,-0.882252052,37.94967878,997.0993042,781,21.68666649,963,6.389999866,351,21.51199913,430,21.93120003
Machakos,Masinga Sub County,Mananja Ward,-0.886871886,37.29877875,1173.438477,902,21.0636673,1178,5.960000038,518,20.87999916,384,21.32080078
Migori,Rongo Sub County,South Kamagambo Ward,-0.888099955,34.60260785,1524.447388,1546,20.34133339,1520,5.539999962,958,20.26799965,588,20.44400024
Kisii,Bobasi Sub County,Bassi Bogetaorio Ward,-0.891236586,34.8331408,1937.577026,1739,18.71433258,1862,5.480000019,1083,18.66285706,656,18.78639984
